Date,BAB,MKT,SMB,HML,UMD
01/27/1997,0.00,-0.01,0.00,0.00,0.00
01/28/1997,0.00,0.00,0.00,0.00,0.00
01/29/1997,0.00,0.00,0.00,0.00,0.00
01/30/1997,0.00,0.01,0.00,0.00,0.00
01/31/1997,-0.01,0.01,0.00,0.00,0.00
02/03/1997,0.01,0.00,0.00,0.00,0.00
02/04/1997,0.00,0.00,0.00,0.00,0.00
02/05/1997,0.00,-0.01,0.00,0.01,0.00
02/06/1997,0.00,0.00,0.00,0.00,0.00
02/07/1997,0.00,0.00,-0.01,0.00,0.00
02/10/1997,0.00,0.00,0.00,0.00,0.00
02/11/1997,0.00,0.00,0.00,0.00,0.00
02/12/1997,0.00,0.01,-0.01,0.00,0.00
02/13/1997,0.00,0.01,0.00,0.00,0.00
02/14/1997,0.00,0.00,0.00,0.00,0.00
02/17/1997,0.00,0.00,0.00,0.00,0.00
02/18/1997,0.00,0.00,0.00,0.00,0.00
02/19/1997,0.00,0.00,0.00,0.00,0.00
02/20/1997,0.00,0.00,0.00,0.00,-0.01
02/21/1997,0.00,0.00,0.00,0.00,-0.01
02/24/1997,0.00,0.01,0.00,0.00,0.00
02/25/1997,0.00,0.00,0.00,0.00,0.00
02/26/1997,0.00,-0.01,0.00,0.00,0.00
02/27/1997,0.00,-0.01,0.00,0.00,0.00
02/28/1997,0.00,-0.01,0.00,0.00,0.00
03/03/1997,0.00,0.00,0.00,0.00,0.00
03/04/1997,0.00,0.00,0.00,0.00,0.00
03/05/1997,0.00,0.00,0.00,0.00,0.01
03/06/1997,0.00,0.00,0.00,0.00,0.00
03/07/1997,0.00,0.00,0.00,0.00,0.00
03/10/1997,0.00,0.01,0.00,0.00,0.00
03/11/1997,0.00,0.00,0.00,0.00,0.00
03/12/1997,0.00,-0.01,0.00,0.00,0.00
03/13/1997,0.00,-0.01,0.01,0.00,0.00
03/14/1997,0.00,0.00,0.00,0.00,0.00
03/17/1997,0.00,0.00,0.00,0.00,0.00
03/18/1997,0.00,0.00,0.00,0.00,0.00
03/19/1997,0.00,0.00,0.00,0.00,0.00
03/20/1997,0.00,-0.01,0.00,0.00,0.00
03/21/1997,0.00,0.00,0.00,0.00,0.00
03/24/1997,0.00,0.00,-0.01,0.00,0.00
03/25/1997,0.00,0.00,0.00,0.00,0.00
03/26/1997,0.00,0.00,0.00,0.00,0.00
03/27/1997,0.00,-0.01,0.01,0.00,0.00
03/28/1997,0.00,0.00,0.00,0.00,0.00
03/31/1997,0.00,-0.01,0.00,0.01,0.00
04/01/1997,0.00,-0.01,0.00,0.00,0.00
04/02/1997,0.00,0.00,0.00,0.00,0.00
04/03/1997,0.00,0.00,0.00,0.00,0.00
04/04/1997,-0.01,0.00,0.00,-0.01,0.01
04/07/1997,0.00,0.00,0.00,0.00,0.01
04/08/1997,0.00,0.00,0.00,0.00,0.01
04/09/1997,0.00,0.00,0.00,0.00,0.00
04/10/1997,0.01,0.00,0.00,0.00,0.00
04/11/1997,0.00,-0.01,0.00,0.00,0.00
04/14/1997,0.00,0.00,0.00,0.00,0.00
04/15/1997,-0.01,0.01,-0.01,0.00,0.00
04/16/1997,0.00,0.01,-0.01,0.00,0.00
04/17/1997,0.00,0.00,0.00,0.00,0.00
04/18/1997,0.00,0.01,0.00,0.00,0.00
04/21/1997,0.00,0.00,0.00,0.00,0.00
04/22/1997,0.00,0.01,-0.01,0.00,0.01
04/23/1997,0.00,0.00,0.00,0.00,0.00
04/24/1997,0.00,0.00,0.00,0.00,0.00
04/25/1997,0.01,-0.01,0.00,0.00,0.00
04/28/1997,0.00,0.00,-0.01,0.00,0.00
04/29/1997,0.00,0.01,-0.01,0.00,0.00
04/30/1997,0.00,0.01,0.00,0.00,0.00
05/01/1997,0.00,0.00,0.00,0.00,0.00
05/02/1997,0.00,0.01,0.00,0.00,0.00
05/05/1997,-0.01,0.01,0.00,-0.01,0.00
05/06/1997,0.00,0.01,0.00,0.00,0.00
05/07/1997,0.01,-0.01,0.01,0.00,0.00
05/08/1997,0.00,0.00,0.00,0.00,0.00
05/09/1997,0.00,0.01,0.00,0.00,0.00
05/12/1997,0.00,0.01,-0.01,0.00,0.00
05/13/1997,0.00,0.00,0.00,0.00,0.00
05/14/1997,0.00,0.00,0.00,0.00,0.00
05/15/1997,0.00,0.00,0.00,0.00,0.00
05/16/1997,0.01,0.00,0.01,0.00,0.00
05/19/1997,0.00,0.00,0.00,0.00,0.00
05/20/1997,0.00,0.01,0.00,0.00,0.00
05/21/1997,0.00,0.00,0.00,0.00,0.00
05/22/1997,0.00,0.00,0.00,0.00,0.00
05/23/1997,0.00,0.01,0.00,0.00,0.00
05/26/1997,0.00,0.00,0.00,0.00,0.00
05/27/1997,0.00,0.00,0.00,-0.01,0.00
05/28/1997,0.00,0.00,0.00,0.00,0.00
05/29/1997,0.00,0.00,0.00,0.00,0.00
05/30/1997,0.00,0.00,0.00,0.00,0.00
06/02/1997,0.00,0.00,0.00,0.00,0.00
06/03/1997,0.00,0.00,0.00,0.01,0.00
06/04/1997,0.00,0.00,0.00,0.00,0.00
06/05/1997,0.00,0.00,0.00,0.00,0.00
06/06/1997,0.00,0.01,0.00,0.00,0.00
06/09/1997,0.00,0.01,0.00,0.00,0.00
06/10/1997,0.00,0.00,0.00,0.00,0.00
06/11/1997,0.00,0.00,0.00,0.00,0.00
06/12/1997,0.00,0.00,-0.01,0.00,0.00
06/13/1997,0.00,0.01,0.00,0.00,0.00
06/16/1997,0.00,0.00,0.00,0.00,0.00
06/17/1997,0.00,0.00,0.00,0.00,0.00
06/18/1997,0.00,0.00,0.00,0.00,0.00
06/19/1997,0.00,0.01,0.00,0.00,0.00
06/20/1997,0.00,0.00,0.00,0.00,0.00
06/23/1997,0.01,-0.01,0.01,0.00,0.00
06/24/1997,0.00,0.01,-0.01,0.00,0.00
06/25/1997,0.00,0.00,0.00,0.00,0.00
06/26/1997,0.00,0.00,0.00,0.00,0.00
06/27/1997,0.00,0.00,0.00,0.00,0.00
06/30/1997,0.00,0.00,0.01,0.00,0.00
07/01/1997,0.00,0.00,-0.01,0.00,0.00
07/02/1997,0.00,0.01,-0.01,0.00,0.00
07/03/1997,0.00,0.01,-0.01,0.00,0.01
07/04/1997,0.00,0.00,0.00,0.00,0.00
07/07/1997,0.00,0.00,0.00,0.00,0.00
07/08/1997,0.00,0.00,0.00,0.00,0.00
07/09/1997,0.00,-0.01,0.00,0.00,0.00
07/10/1997,0.00,0.00,0.00,0.00,0.00
07/11/1997,0.00,0.00,0.00,0.00,0.00
07/14/1997,0.00,0.00,0.00,0.00,0.00
07/15/1997,0.00,0.00,0.00,0.00,0.00
